commit	sharpe	max_dd	status	description
ace1295	-0.3954	53.1	keep	baseline: RSI(14) <30 long / >70 exit, ROI 1%, stop -10%. 415 trades, 83.9% wr, profit_factor 0.82 — ROI/stop asymmetry (1:10) dominates: many tiny wins, occasional 10% losers. Kept as anchor.
16cd6e8	-0.0352	51.8	keep	remove 1% ROI take-profit (set to 100). Sharpe -0.40->-0.04, pf 0.82->0.98, trades 415->254. Big improvement and simpler. DD still awful (-52%), next target.
2c52ba6	-0.2205	36.2	discard	regime filter: long only if close>SMA(200). Trades 254->60, DD 52->36 but sharpe -0.04->-0.22, pf 0.98->0.58. Surviving trades are late-stage pullbacks in uptrends, not quality signals.
1e7b9c9	-0.0625	54.4	discard	tighten stop -10->-5%. Trades 254->346, DD 52->54 (worse), sharpe -0.04->-0.06. -5% stop fires on 1h noise and converts recoverable trades into small losses.
e15b135	-2.8878	89.8	discard	flip to momentum: enter RSI cross-up 50, exit cross-down. 3097 trades, 16.8% wr — RSI noisy around 50 so every micro-wiggle triggers. Need buffered thresholds.
c7c1e6c	0.0292	32.1	keep	tighter entry RSI<25 (was <30). Sharpe -0.04->+0.03 (first positive), DD 52->32, pf 0.98->1.03, trades 254->170, profit -7.5%->+6%. All metrics better, same complexity.
6e0e6aa	0.0404	30.7	keep	tighter exit RSI>65 (was >70). Sharpe +0.03->+0.04, DD 32->31, pf 1.025->1.033, wr 64.7->66.3. Uniform small improvement, no extra complexity.
bae499f	0.0403	17.5	keep	tighter entry RSI<20 (was <25). Sharpe tied but DD 31->17, pf 1.03->1.07, calmar 0.44->0.73, trades 187->86. Fewer but much higher quality signals.
6a33bd7	0.0174	19.4	discard	exit RSI>70 (was >65). Sharpe 0.04->0.02, pf 1.07->1.03, calmar 0.73->0.31. Mean-reversion signal fades past 65; letting winners run gives back gains.
45361c1	0.0260	15.4	discard	exit RSI>60. Sharpe 0.04->0.03, pf 1.07->1.05. Exit too early before recovery matures. 65 is the sweet spot (bracketed 60 and 70).
8ccb2aa	-0.0617	25.3	discard	RSI period 14->21. Only 28 trades in 3y, 50% wr, pf 0.76. Signal too smoothed — <20 rare.
f3908ec	-0.3587	43.1	discard	RSI period 14->7. 426 trades, sharpe -0.36, pf 0.87. Too noisy, RSI(14) is sweet spot at these thresholds.
c25e6a9	0.0265	17.5	discard	vol>20-SMA filter. Barely triggers (86->85 trades), sharpe 0.04->0.03, pf 1.07->1.05. Volume not a useful additional filter at RSI<20.
2be6aa5	-1.4903	66.3	discard	replace RSI with BB (close<lower entry, close>middle exit). 1043 trades, sharpe -1.49, DD -66%. BB triggers too often on crypto 1h.
